char1,char2,char3,freq
c,i,o,305234892
j,u,d,304323288
g,o,t,304184004
o,b,e,303638523
t,u,n,303573078
i,p,a,303389163
r,k,s,303353340
s,e,m,302926643
o,m,b,302502012
h,t,s,302381055
c,o,p,301389919
n,f,e,301299116
d,o,c,300501873
p,a,p,300355706
l,i,o,300305822
a,n,u,300266687
a,i,m,299848719
e,l,t,298834190
o,i,l,298525984
r,c,u,298310179
t,h,s,297741137
e,d,s,297710732
o,p,u,297563488
f,e,n,296685633
i,d,a,296536031
n,d,r,296530828
i,r,o,296372075
a,m,b,296313453
t,i,r,296220827
i,a,m,295470709
a,i,s,295467156
a,l,w,294866898
n,e,l,294154094
u,r,g,293935372
k,n,e,293842643
e,g,u,293664646
d,a,m,293655716
a,t,c,293503144
f,l,a,293295813
n,i,m,291875057
s,k,i,291802520
n,e,x,291766720
o,y,e,291627946
g,e,m,291219093
s,e,q,291013038
i,l,s,290407803
v,o,i,289024513
n,f,i,288914638
r,s,h,288177517
r,e,w,286640888
o,t,o,285656290
l,l,u,285180158
i,r,a,285119975
a,t,r,284497156
u,s,a,284116981
i,c,l,283224308
b,o,n,283155596
u,s,u,282988087
x,p,r,282876921
t,o,t,281908674
m,a,j,281861558
i,r,m,281819364
i,n,o,281647758
o,l,s,281498408
s,u,g,281333604
p,e,s,281317960
u,d,y,280447225
g,r,i,279238531
u,e,d,279157324
h,a,i,279026046
r,p,r,278848913
i,a,b,278814199
l,a,m,278473862
s,k,e,278298183
n,a,b,277988668
m,b,i,277916471
a,d,a,277392041
w,l,e,277107331
g,i,s,277073624
g,h,e,276941336
i,r,d,276856450
l,a,d,276707802
s,m,i,275340157
s,u,f,275144774
l,e,y,274452170
r,c,i,274034784
k,e,e,273823702
l,e,x,272644138
g,t,h,272584989
m,e,l,272417509
a,m,s,272102972
r,g,i,271909543
l,y,s,271820969
s,p,r,271773840
b,o,a,270874238
u,t,s,270271168
l,t,s,269906353
a,l,f,269625068
p,a,y,269497074
o,i,c,269465117
u,m,p,269053210
r,u,e,268886539
t,a,s,268853549
i,p,t,268619688
a,r,b,268278618
l,m,o,267966009
n,v,o,267466685
y,o,n,267090402
j,o,r,267051005
r,f,o,265997364
o,p,t,264633388
y,m,e,263778278
u,d,g,262714044
x,t,r,262526653
i,m,u,262215981
b,o,v,262079202
h,e,e,261517106
d,v,a,261439554
i,l,t,260083596
u,t,t,259906065
i,g,e,259730009
n,s,p,259702253
o,c,u,259455313
n,s,o,259205967
n,e,g,259130200
u,p,e,258202729
a,g,o,257903618
l,s,e,255263911
o,a,c,254183465
e,h,a,253831494
d,u,l,253349395
u,r,v,253114122
r,u,m,251119174
k,i,l,250828791
u,n,s,250781153
o,m,o,250717471
t,i,g,250621789
s,l,i,250507265
a,j,o,250450217
w,i,d,250058936
o,c,t,250032446
e,p,l,249976840
i,p,s,249478149
u,n,a,249172926
e,c,k,249153611
c,t,l,248701181
l,i,d,248592892
n,s,h,248523959
v,a,i,248486334
c,o,o,247991051
s,a,g,247527982
c,o,a,247089829
m,b,l,246563214
t,h,y,246127929
s,y,m,245491409
r,i,f,245251090
e,p,i,245034149
g,o,i,245020138
m,e,e,244755941
n,u,a,243323725
l,a,u,242869128
r,o,r,242082109
c,e,e,240870168
r,i,z,240701995
u,i,d,240540637
g,l,y,240506103
e,r,h,239718268
t,s,e,239259543
n,g,r,238352607
n,d,l,238015039
a,u,l,237942434
e,a,u,237756705
o,a,r,236594295
f,u,s,236582108
t,o,u,236411751
c,e,m,236403074
e,n,n,236374589
a,m,m,235943112
o,g,n,235915305
i,a,r,235793601
m,p,u,233523851
w,h,y,231951639
g,n,a,231573521
c,t,a,231474077
u,t,u,230872652
n,o,v,229263808
s,i,x,227987821
a,l,r,227912548
u,s,h,227018420
i,a,g,226671636
w,o,o,226555411
c,o,g,226518248
i,b,r,226293394
p,a,g,225488947
r,f,a,225245074
t,e,p,224894769
n,s,c,224694157
r,h,a,224448997
g,o,n,224227116
i,l,o,223973055
a,g,n,223959464
p,e,e,223735225
p,o,o,223452434
z,i,n,223391097
l,e,e,223386412
b,o,l,223344192
a,l,c,223227040
n,o,l,223041204
k,e,l,222487078
r,m,o,222438310
u,m,m,222403774
a,d,s,222204795
r,k,i,221890667
p,s,y,221807012
h,n,i,221681657
s,i,z,220965831
u,c,k,220771001
r,n,s,220697492
g,l,o,220511376
l,a,g,220049261
p,p,i,219758207
t,t,o,219499208
o,i,d,219057289
e,g,o,219030815
t,o,c,219020927
e,c,l,218752273
p,e,l,218389400
s,a,c,217804860
a,c,y,217585630
l,i,p,217497971
i,d,d,217050585
o,a,t,216980715
u,a,g,216883280
f,f,o,216651890
e,f,l,216175389
u,p,s,216075703
f,i,v,215637865
a,t,s,215430062
c,r,u,215238306
a,t,m,214998184
t,a,x,214976942
n,u,t,214919705
f,l,i,214712390
s,u,n,214463695
e,n,v,214288694
i,f,y,214254482
o,x,i,214230921
a,s,p,213311433
n,e,i,213232532
g,o,r,212191987
u,t,o,211928224
i,c,y,211731021
n,k,i,210594190
y,c,h,210416399
t,n,e,209970555
p,i,l,209301425
s,t,l,208834954
i,p,p,208305636
j,o,i,208196666
j,o,u,208028694
i,r,l,207952614
f,a,s,207785208
o,f,e,207695313
s,y,c,206980672
s,l,e,206956741
p,o,u,206933306
n,s,w,206150962
o,n,y,206116787
o,k,s,205663695
m,o,m,205447495
s,l,o,205334708
l,o,a,205324500
s,t,y,205011932
u,b,t,204158911
o,r,o,203975700
e,n,u,203862133
o,l,y,203802715
n,k,s,203397536
o,i,s,202905386
s,p,l,202500916
r,g,u,202418928
e,b,r,202392419
b,u,l,202192100
r,e,r,201985540
d,u,e,201865503
r,u,t,201632866
o,p,s,201162256
a,d,u,201154199
n,s,a,200916869
a,p,o,200614556
p,o,e,200351420
r,b,a,200215659
m,p,h,199569864
r,u,g,199466215
j,u,n,199292092
l,r,e,198939074
s,u,i,198797039
o,s,o,198436340
i,n,l,197950715
u,i,n,196882466
f,e,d,196296281
r,s,a,196083929
r,l,e,195994633
n,s,f,195857161
d,e,g,195471801
o,b,t,195223525
f,i,s,195172966
d,i,o,194981811
l,d,s,194690576
w,r,o,194056166
s,q,u,193045210
r,f,e,192854586
r,w,a,192804732
g,e,l,192775619
b,t,a,192211813
r,t,m,191745251
e,r,w,191683094
s,o,o,191666600
h,m,e,191439726
c,u,p,191418091
u,a,n,189933012
g,m,e,189554915
h,a,b,189043031
u,r,f,188501410
i,t,l,188167868
s,o,p,188110576
t,u,s,187303318
o,o,p,186961873
b,i,o,186933806
s,e,x,186163763
a,y,i,186150448
v,o,r,186064274
n,g,a,185992573
r,o,j,185882026
c,a,d,185844721
r,o,y,185527461
n,e,m,184871233
a,f,r,184300140
n,e,u,184096900
l,t,y,183850932
w,e,i,183780432
i,d,s,183078353
o,j,e,182481089
o,n,m,182350292
d,o,r,182293942
d,d,l,182191959
e,p,h,182004887
w,a,i,181833564
r,g,y,181580716
o,m,s,181520600
u,l,i,181169095
c,i,v,180897692
m,b,r,180734600
u,r,b,180328399
s,a,w,179886790
c,c,a,179128732
b,i,r,178516273
a,u,d,178452209
c,o,t,178365005
e,o,u,178297266
a,b,e,177242287
r,y,i,177011612
e,o,n,176773220
x,i,m,176641915
u,n,l,176507678
h,l,y,176417896
i,r,r,175862292
e,s,h,175440721
o,t,s,175243179
s,a,v,175165659
d,o,o,175149222
l,u,n,175112825
f,u,t,174913823
p,t,a,174780411
n,n,o,174453154
e,w,i,173880173
o,v,a,173659413
e,w,e,173403130
v,o,t,173146515
x,p,o,172901108
w,n,e,172781918
e,p,u,172206097
o,d,a,171789113
a,s,c,171410434
b,r,u,170785660
r,a,f,170705735
n,e,f,170605479
m,p,i,170347931
o,k,i,170193998
u,n,n,169998986
p,i,d,169937867
o,c,r,169886618
y,m,p,169632427
e,r,b,169533252
d,o,l,169446922
k,e,y,169254436
d,e,b,168973375
o,b,i,168589803
b,o,y,168541856
m,o,l,168384549
s,t,m,167450843
f,a,v,167201465
n,q,u,166885227
e,h,i,166277546
a,x,i,166218377
f,a,n,165772013
i,d,g,164786088
n,o,s,163901295
e,o,l,163850046
o,p,r,163638050
v,i,a,163506579
c,k,i,163090370
b,s,o,162960428
a,g,g,162728168
d,i,m,162656034
n,n,a,162538900
i,t,c,162352860
j,u,r,162309199
e,n,l,162185413
i,n,h,162097523
m,i,r,161922621
u,c,i,161326241
t,t,r,161218322
r,e,b,161205137
g,n,o,160267420
l,t,a,160040612
d,i,g,160011830
v,o,u,159914646
r,u,i,159392435
g,o,l,159314197
w,t,h,159271498
g,a,v,159022540
u,t,a,158813599
i,s,f,158811837
i,s,k,158669386
i,i,i,158650548
u,d,d,158629626
l,a,v,157611715
l,u,a,157387911
c,a,b,156584684
v,a,s,156579077
n,i,q,156065873
r,n,o,155943044
m,y,s,155686158
i,c,o,155644702
d,u,t,155613193
s,p,h,155111947
u,m,s,155106997
r,e,h,155070536
o,y,a,154436638
o,w,t,154425351
b,e,y,153734039
c,q,u,153229589
x,e,r,153190074
e,d,o,153068077
n,a,d,152899597
r,e,o,152576393
h,i,b,152363602
o,a,l,152336936
p,t,u,151600142
b,i,g,151544022
t,u,m,151353209
y,l,e,151321035
r,u,p,151305216
p,p,a,150994706
g,i,r,150936468
o,o,s,150786834
x,e,d,150695750
g,u,s,150641497
a,c,q,150613366
g,h,l,150597544
u,s,c,150517981
a,c,a,150246666
w,o,n,150030135
u,i,c,149971363
s,y,n,149965515
t,i,p,149955131
g,a,s,149478860
c,e,a,148914543
l,u,c,148742639
o,m,y,148509528
a,g,u,148176131
c,k,l,148081313
u,r,d,147896067
s,i,e,147683608
r,b,i,147374418
u,l,y,147335284
j,a,m,147064867
m,b,o,146910188
g,t,o,146903668
a,f,e,146804850
u,e,l,146269447
a,w,s,146030652
t,a,m,145946549
r,s,u,145907301
s,h,m,145402582
o,f,i,145207710
d,n,e,145142169
j,o,y,144962079
w,i,f,144633868
d,r,u,144498006
n,u,s,144439102
e,n,r,143680445
m,o,o,143438420
z,e,n,143365869
e,t,o,143335051
s,m,e,142930689
u,p,t,142549267
r,b,o,142161483
n,h,a,141637405
u,t,y,141392915
o,e,t,141380132
r,f,u,140942694
p,t,o,140783756
n,k,e,140685786
j,e,s,140646028
t,o,d,140601201
v,i,v,140474690
a,c,u,139734017
j,a,c,139131071
e,h,o,139083330
g,a,m,139041705
p,l,u,138934051
d,a,l,138928124
n,j,u,138707706
y,a,l,138310163
a,i,g,138260022
e,a,g,137789200
u,l,s,137446482
m,e,w,137189263
d,i,l,137056894
r,o,k,136875443
l,u,r,136784976
f,i,f,136748737
n,l,i,136720353
a,s,a,136571919
j,a,n,136440143
j,o,b,136428114
f,e,m,136317679
n,e,o,135949487
i,e,c,135610847
v,e,y,135446584
s,a,f,135120617
s,w,i,134678194
i,x,e,134614571
u,g,u,134487562
m,e,c,134447308
p,t,s,134157253
y,s,e,134075581
t,s,i,133684249
h,e,c,133662703
e,e,c,133642475
e,u,t,133491217
b,i,d,133406191
m,o,c,133264489
j,e,w,133178396
h,n,o,133127248
e,d,l,133066032
l,y,i,132861282
j,a,p,132629169
e,w,a,132331525
p,a,u,132028562
n,a,c,131815605
m,b,a,131638338
i,f,o,131585709
a,b,a,131347926
n,a,s,131344250
o,r,w,131296397
a,d,j,131256909
g,a,g,131165069
u,p,i,131108654
b,a,d,130438049
t,y,l,130053117
x,e,c,129886158
c,o,d,129678300
n,f,a,129580755
h,y,p,129557712
i,t,r,129380047
n,y,t,129197478
t,i,z,129112465
e,w,h,129086117
z,o,n,128844185
u,o,u,128235153
o,u,c,128184243
r,m,y,128121426
a,l,d,128083255
j,u,l,127966538
i,n,j,127698630
i,x,t,127674482
s,m,o,127517820
b,l,u,127344876
i,u,s,127133440
s,o,f,127128285
a,s,y,127102524
m,s,t,126963023
a,r,v,126924832
d,d,r,126785940
e,y,o,126628725
f,i,x,126374679
a,z,i,126224896
g,h,o,126011497
n,l,e,125911588
m,u,r,125870418
e,h,e,125839373
m,u,m,125777399
i,m,o,125637163
m,a,x,125090353
u,m,i,125008768
d,v,e,124882983
o,c,h,123925374
e,r,d,123886065
x,i,c,123809306
d,a,v,123265598
a,w,n,123068826
a,r,p,123009950
q,u,o,122702648
r,d,a,122324108
i,a,s,121597261
b,i,a,121526678
i,g,r,121426450
h,o,i,121242964
g,i,t,121145046
t,a,y,121143745
s,o,v,121012228
u,t,r,121004904
o,s,a,120990432
r,t,o,120916876
d,a,i,120758366
o,r,b,120709356
e,a,p,120274312
d,o,p,120165874
t,e,i,120165251
r,p,e,119715751
o,u,d,119476697
u,n,k,119452197
a,b,u,119383614
d,o,i,119194733
g,i,e,119002461
b,i,s,118953450
s,f,u,118888087
w,a,v,118768358
t,o,b,118609915
f,i,d,117926906
t,w,i,117844850
a,e,l,117775493
r,o,x,117555451
d,i,u,117387741
t,i,b,116560291
a,b,r,116182216
i,l,m,115711536
e,x,h,115651467
h,y,d,115507487
l,c,u,115422545
s,n,e,115225612
g,u,m,114965747
g,u,n,114963720
m,i,x,114729532
u,n,f,114661050
h,i,a,114525193
e,t,c,114132680
k,l,y,114000641
e,x,u,113797895
i,z,i,113682052
t,e,v,113556951
u,s,p,113483926
n,n,u,113409496
s,a,d,113401912
f,o,c,113281160
r,l,a,113215428
r,t,l,113128032
f,f,a,113097618
k,e,p,112959071
u,b,e,112624643
n,f,u,112526017
o,a,s,112523674
x,c,l,112435288
r,y,t,111938520
t,a,p,111672454
e,p,s,111635602
x,p,a,111546480
p,i,s,110802264
e,n,j,110650547
e,k,s,109725470
l,o,b,109630655
o,p,y,109588325
n,u,r,109456666
h,i,o,109404633
p,u,n,109236039
o,y,m,108867948
l,v,i,108717854
w,a,g,108111365
i,l,u,107976988
m,u,t,107881719
s,s,f,107827016
l,p,h,107722203
v,o,c,107673203
n,s,l,107577599
u,t,l,107272366
d,v,i,107136334
u,e,r,106901475
s,c,l,106771853
r,e,j,106551825
i,p,e,106488468
s,f,e,106295742
n,o,b,106061388
l,c,o,106023699
i,m,b,105869244
t,u,b,105770446
a,u,n,105657484
u,p,l,105610981
c,k,n,105546049
c,r,y,105499639
n,a,v,105438472
f,e,t,105407237
y,d,r,105405224
a,p,r,105366492
e,b,e,105329480
u,t,c,105207085
t,u,e,105027029
y,c,l,105011705
a,b,b,104819766
a,t,l,104542883
f,l,y,104393779
b,u,n,104314884
n,u,f,104267450
c,y,c,104108873
b,o,x,103893072
e,g,y,103704137
a,v,y,103619079
x,c,h,103270204
p,u,s,103226359
i,f,u,103225246
o,y,s,103062515
m,p,s,102766934
u,f,a,102662815
o,s,c,102576123
x,e,s,102405115
s,u,d,101963631
r,i,u,101787334
o,l,t,101625977
e,m,y,101562290
u,g,e,101183478
i,c,r,101150825
l,a,p,101047653
i,s,r,100782648
g,g,l,100655611
d,w,a,100123356
a,l,v,100119729
g,o,a,100073697
x,a,c,99755462
n,j,o,99570072
s,a,b,99533176
b,u,d,99522398
r,w,i,99513268
l,k,e,99460054
r,d,l,99081243
l,t,o,98916081
o,a,n,98883699
i,o,t,98831848
l,a,k,98537260
e,b,a,98372249
n,v,a,98183062
s,o,i,98179492
p,s,e,97985592
u,p,r,97958331
s,e,f,97925573
s,a,p,97884788
u,m,n,97838638
r,m,u,97781637
p,o,k,97763212
t,a,f,97643320
t,l,a,97576490
r,o,i,97372833
o,p,a,97279673
y,n,a,97053196
x,u,a,96797952
e,u,m,96796065
g,i,a,96729430
r,c,o,96496457
b,b,e,96297383
l,o,m,96071691
s,b,a,96069548
l,n,e,95981175
n,u,c,95862877
e,r,u,95811901
u,c,l,95775722
r,b,e,95759552
b,o,s,95267969
a,c,o,95217021
o,o,f,95182650
w,i,c,95164593
y,p,i,95072856
r,g,o,94967700
f,r,u,94844103
d,a,u,94675250
a,y,m,94493747
u,m,o,94256747
o,b,v,94231897
z,e,r,93870205
n,o,c,93636568
s,f,o,93408923
s,i,f,93352446
b,v,i,93198288
l,k,i,93184520
m,i,e,92974019
h,b,o,92888794
a,s,m,92606256
t,l,i,92521473
r,i,k,92469767
v,e,a,92389243
h,t,l,92133099
r,u,d,91953108
a,u,r,91815582
i,d,l,91800381
o,d,o,91692104
n,a,p,91544836
g,h,b,91403380
n,r,y,91164866
n,o,i,90971497
n,u,i,90805098
b,o,w,90769205
s,h,r,90661533
l,e,l,90636023
t,w,a,90427307
c,h,m,90309564
l,e,o,90007931
k,l,e,89760193
l,e,i,89703725
r,e,y,89524576
i,s,u,89476147
h,r,a,89415382
p,a,b,89291662
h,a,u,89170049
c,a,v,89126385
u,s,b,88807582
p,h,r,88686339
d,r,y,88654268
d,g,m,88622466
w,n,s,88107751
d,j,u,87668527
g,n,s,87601347
s,s,m,87350582
o,w,d,87174970
y,p,o,86847223
o,c,o,86811546
d,o,g,86757547
u,o,t,86724125
c,o,h,86577483
t,t,y,86512071
l,u,b,86319564
b,i,b,86079240
o,d,d,85963452
l,i,q,85823080
u,l,f,85692479
i,o,g,85684446
y,m,b,85560985
u,g,a,85266156
u,i,p,84692048
t,a,u,84690299
y,r,i,84242116
y,e,e,84227936
r,t,n,84188453
s,w,a,83890731
n,c,a,83676498
b,u,y,83505493
a,d,l,83299991
r,t,r,83280275
i,l,k,83278866
m,e,o,82853973
h,i,d,82673397
v,i,i,81884741
i,s,d,81703945
r,a,h,81671337
s,k,s,81617329
v,a,g,81571157
d,y,n,81437194
h,a,e,81436110
g,o,e,81371188
y,a,n,81307774
u,e,e,81228540
n,a,i,81088151
j,o,s,81075633
e,y,s,80777294
c,c,i,80507481
r,y,o,80399833
g,a,z,80328477
m,a,p,80236328
p,p,y,80039704
a,l,b,80001600
o,m,f,79983130
c,o,i,79810126
w,l,y,79716244
m,f,o,79682682
e,d,a,79640752
x,c,i,79598184
t,h,w,79594897
e,g,g,79475922
d,e,x,79457167
f,a,u,79456509
t,h,l,79402775
a,z,e,79169877
r,c,l,79027755
m,o,b,78947685
r,a,e,78903302
v,a,c,78859422
r,u,b,78843234
i,p,i,78782885
l,e,p,78525702
y,e,l,78450660
a,c,l,78178016
s,f,a,77725048
d,e,o,77648809
i,t,n,77129642
l,m,e,77125197
i,p,m,77081612
n,f,r,76940474
u,t,p,76924664
r,l,o,76915076
m,e,x,76904408
r,a,u,76824270
t,f,u,76742710
i,n,q,76610100
e,i,s,76531522
e,a,b,76515710
o,s,u,76454630
y,a,r,76398219
d,e,q,76175772
z,e,s,76113740
t,h,m,76104441
s,a,s,75999186
d,o,s,75911242
l,v,a,75537677
r,h,o,75271917
t,m,o,75164174
u,i,e,75023241
s,p,u,74967202
m,i,a,74961745
h,o,c,74815130
u,p,a,74623422
e,b,t,74572074
e,a,f,74531254
n,s,m,74511277
s,e,i,74454958
u,k,e,74247713
c,o,c,74177673
u,s,n,74175758
h,i,f,74138190
n,h,e,74128262
u,l,o,73854046
n,n,y,73838960
d,a,p,73829399
s,t,h,73640451
g,i,l,73613073
a,x,e,73566848
r,r,u,73371753
o,u,i,73258641
n,d,m,73256579
a,d,r,73250853
f,y,i,73144789
r,u,a,73137702
a,u,c,73025940
k,i,s,73007797
n,o,d,72993911
e,d,y,72884337
j,e,r,72808358
u,b,m,72487397
s,e,w,72382963
i,v,o,72242666
y,i,e,72141012
l,e,b,72130660
t,o,s,72035259
e,w,o,71894385
o,g,u,71888808
w,e,b,71693166
e,d,d,71658503
h,l,e,71598222
h,w,a,71579071
i,z,o,71494572
u,l,u,71422243
s,e,u,71263363
s,m,s,71231480
h,a,k,71224914
a,m,u,71212634
c,o,w,70881672
g,g,r,70876259
t,i,d,70793531
u,b,b,70775459
h,o,e,70715428
i,g,g,70460606
e,n,h,70383399
h,u,g,70366504
o,e,m,70324538
f,e,b,70082519
r,l,s,70081893
r,d,o,70078362
e,j,e,69947817
x,h,i,69934308
i,g,o,69917416
r,y,s,69907177
d,l,i,69823313
i,o,s,69695972
n,r,e,69675893
i,r,g,69481056
x,t,u,69411411
a,w,i,69325089
n,i,u,69286322
g,o,s,69216116
t,p,u,69074650
a,l,p,68885800
r,s,p,68739769
a,l,g,68677494
c,h,l,68554995
r,p,l,68534044
i,d,o,68385460
u,n,r,68344865
n,l,a,68283319
l,y,m,68269235
c,a,g,68223838
f,i,b,68219430
c,e,t,68045092
f,f,s,67870291
h,t,i,67785867
s,w,o,67655031
y,p,t,67608064
s,k,y,67576008
u,n,p,67572465
n,g,d,67456115
o,b,b,67344210
u,l,p,67309952
b,a,y,67224522
e,s,a,67164117
o,g,a,67087480
g,d,o,67087181
a,h,a,66611380
l,o,i,66554119
u,r,k,66444087
s,a,u,66425332
s,h,u,66311578
f,t,s,66310506
d,s,o,66297371
s,r,a,66201588
h,u,t,66165251
e,m,n,65995925
l,f,i,65830828
k,a,n,65755148
v,i,g,65730633
l,e,u,65723707
c,u,i,65680959
n,p,u,65636598
g,e,a,65608842
e,n,z,65507116
g,i,m,65387697
l,u,i,65263603
y,n,t,65210283
g,h,a,64811807
z,a,r,64688790
e,d,w,64518374
n,c,u,64472070
r,h,e,64337746
x,i,d,64249063
k,a,b,63868593
e,r,k,63785902
a,n,x,63642441
o,h,i,63143537
a,p,y,63130362
w,r,e,63098524
u,a,d,63002731
b,s,c,62975701
w,i,r,62934721
d,s,h,62925714
n,y,o,62898019
a,b,y,62790443
l,b,e,62580868
n,w,a,62561071
a,k,s,62323145
n,t,m,62148765
e,i,l,62142543
e,f,a,62064267
n,x,i,61850145
c,o,e,61843811
o,i,t,61798170
e,e,i,61794528
o,x,y,61766386
o,i,r,61702311
r,k,a,61609045
g,i,f,61578610
n,u,o,61547273
l,o,d,61507364
h,m,a,61375932
p,o,c,61307468
d,i,p,61261357
n,o,p,61226017
e,o,v,61200729
d,w,i,61154988
l,f,a,61084888
r,p,h,61013741
y,t,e,60835883
h,a,g,60716588
i,l,v,60691989
r,a,z,60417627
p,i,o,60310781
s,o,d,60289789
i,n,y,60211939
i,e,u,60148971
e,g,l,60016115
p,i,a,59980466
g,i,b,59959706
l,e,w,59957381
h,a,w,59845113
e,d,r,59613451
e,b,y,59561954
g,y,p,59211418
h,e,w,59198101
f,t,y,59188389
d,s,t,59177697
a,g,m,59162608
a,y,a,59137150
s,y,l,59072404
u,d,a,59030557
s,e,g,58894684
n,d,y,58885194
n,o,o,58776999
s,e,h,58720939
k,i,d,58625808
m,o,i,58283652
v,o,n,58184464
t,h,d,57969215
b,b,i,57946225
u,i,v,57884703
e,l,m,57843667
y,l,o,57755018
p,r,u,57621827
n,g,o,57439094
e,n,f,57321143
d,a,s,57316229
o,l,k,57295317
i,n,p,57184487
t,m,a,57092962
s,n,a,56738861
w,s,p,56517348
h,n,s,56434631
c,u,b,56159985
b,i,c,55894303
e,f,r,55776395
b,m,i,55761580
x,i,o,55620601
r,o,e,55609190
e,l,u,55561496
u,m,u,55533601
b,a,g,55519849
g,g,i,55515725
m,i,z,55381459
a,t,y,55274542
l,y,t,55238994
p,y,r,55221769
b,s,i,55112488
r,u,r,54983320
w,a,k,54892793
j,o,n,54624374
i,r,y,54486481
p,u,p,54294918
l,s,i,54282643
a,z,a,54214766
r,e,u,54195089
k,n,i,54131878
s,n,o,53948681
c,k,g,53929273
k,g,r,53844038
k,a,r,53781536
d,m,e,53762644
n,g,h,53752604
e,u,s,53694198
n,k,l,53597706
x,i,n,53596004
p,t,h,53492134
t,c,o,53479853
r,v,o,53388604
h,i,v,53346089
u,b,i,53010770
v,e,t,52893162
o,h,o,52724909
l,p,e,52625366
p,i,p,52581837
k,i,t,52463576
t,f,o,52367776
e,o,g,52360683
h,f,u,52251425
u,a,b,52249404
c,k,y,52236688
b,o,m,52153545
t,o,i,52098889
c,h,y,52091209
v,e,g,51955285
m,b,u,51915273
g,s,t,51788931
f,t,h,51712104
x,f,o,51660934
e,f,s,51485601
c,y,t,51127593
o,t,l,51001520
y,b,e,50797127
s,f,i,50564801
o,x,f,50540168
s,b,u,50470047
j,e,a,50363824
t,h,n,50354880
m,o,k,50241094
o,n,u,50234052
u,g,s,50225966
t,i,q,50223516
y,l,i,50170733
y,m,o,50167760
c,k,a,50032192
g,m,a,50004477
r,c,a,50001988
k,a,g,49556909
v,e,i,49526718
u,l,g,49507609
i,k,i,49364554
e,n,y,49297008
b,u,c,49174180
l,m,s,49068906
l,a,x,48862602
t,h,f,48755280
x,a,n,48707535
l,s,t,48684789
d,o,t,48464918
a,y,b,48464907
u,n,w,48457951
v,u,l,48399614
t,t,s,48391701
h,r,u,48366391
u,l,n,48176575
m,a,m,48135141
l,u,x,47991580
u,b,a,47770130
c,i,m,47753490
n,i,p,47685550
b,t,e,47593904
i,t,m,47507248
e,k,i,47507001
m,n,e,47474061
y,t,i,47366134
l,t,r,47290052
s,e,y,47289498
o,n,q,47282611
h,d,r,47173934
a,y,o,47154413
h,l,o,47146746
i,t,z,47018028
n,k,n,46866346
m,l,y,46858263
o,z,e,46745794
n,i,l,46714809
o,d,g,46677388
d,w,e,46589828
k,l,i,46532278
e,b,o,46503926
d,y,i,46386927
t,e,o,46353002
s,s,l,46310197
y,w,h,46308801
x,a,t,46241619
o,r,u,46224595
k,a,t,46191352
o,l,f,46179259
d,u,n,46079677
c,o,b,46063639
v,e,h,45983831
z,a,b,45849842
f,a,b,45678887
p,h,s,45571329
y,b,o,45482594
l,g,a,45406549
o,c,l,45298005
d,u,m,45140006
f,f,l,45006135
e,l,c,45004427
c,e,f,44998279
y,n,e,44926812
i,l,w,44814935
u,d,s,44754706
a,o,r,44737326
e,p,p,44698497
u,v,e,44644838
t,y,r,44566556
a,q,u,44535619
p,i,g,44516069
l,y,n,44378102
w,d,e,44375405
g,a,p,44254373
t,o,x,44130951
l,g,e,44063505
a,h,e,43829672
d,u,k,43800340
a,y,l,43754956
d,a,b,43730339
c,h,t,43712017
a,e,s,43692191
a,d,h,43687214
b,o,i,43639861
a,r,f,43612441
x,i,t,43491917
o,h,e,43327063
m,o,g,43310193
t,u,c,43284274
o,b,o,43244580
u,n,u,43232343
e,i,z,43220194
n,a,u,43069037
t,u,l,43039258
i,p,h,42747383
r,a,o,42646899
e,g,n,42629907
i,g,m,42573497
s,a,k,42498066
o,f,o,42423931
u,n,o,42423881
i,o,c,42399400
v,a,d,42393558
a,x,a,42335328
r,p,t,42266880
m,y,t,42242388
h,t,y,42217614
f,u,g,42189852
l,l,n,42163692
o,g,s,42140119
v,o,k,42064008
e,g,m,42016539
d,t,h,41934974
x,e,m,41908609
k,o,r,41873989
l,r,o,41664122
s,i,p,41659662
a,j,e,41592970
l,y,z,41569794
f,t,i,41558472
c,o,f,41556211
w,o,l,41543236
n,o,g,41434851
w,y,e,41419036
l,m,a,41417784
e,u,d,41401161
x,o,n,41323392
s,d,a,41297383
u,a,i,41211401
l,d,o,41207381
d,i,x,41191582
a,p,l,41174116
i,p,u,41132198
f,u,e,41111191
y,l,a,41084458
x,i,e,41077029
l,k,s,40977581
p,o,v,40962585
s,s,r,40948556
o,n,j,40919416
e,c,c,40880591
u,r,l,40757377
h,n,e,40745282
h,w,e,40518072
n,h,i,40403148
r,m,l,40365887
i,d,n,40345326
n,r,i,40136156
f,o,s,40098304
x,i,i,40046952
s,i,u,40006316
d,m,a,39880211
e,d,n,39878353
g,o,u,39838948
c,a,c,39833515
l,m,i,39731775
x,v,i,39665014
t,e,w,39654094
c,c,l,39627359
h,t,f,39536227
h,y,l,39475354
a,w,y,39436186
d,h,e,39325079
h,a,y,39281114
i,n,m,39250672
x,h,a,38884381
n,a,k,38881999
n,b,e,38865054
e,t,l,38792070
f,o,n,38790832
x,t,s,38688191
c,k,w,38681851
d,o,x,38662437
u,r,m,38625936
k,w,a,38547146
t,o,e,38546975
e,m,m,38485213
e,e,z,38439345
o,a,k,38432523
b,i,e,38365458
d,a,d,38350865
